FARM_NO,,FARM_PIG_NO,,BUNMAN_SANCHA,,GYOBAE_DT,,BUNMAN_DT,,CHONGSAN,,SILSAN,,EUDUSU,,EUKG,,CHOGYOBAE,,JAE
624,,36-64,,6,,20120207,,20120604,,14,,11,,8,,56,,,,5
624,,12-13,,2,,20100531,,20100923,,10,,10,,10,,0,,,,
624,,12-13,,3,,20101102,,20110225,,12,,12,,9,,81,,,,12
624,,12-13,,4,,20110329,,20110721,,11,,11,,10,,70,,,,5
624,,12-13,,5,,20110823,,20111216,,10,,10,,8,,72,,,,10
624,,12-13,,6,,20120116,,20120511,,11,,9,,8,,64,,,,4
624,,12-13,,7,,20120612,,20121005,,11,,10,,10,,80,,,,5
624,,12-13,,8,,20121107,,20130302,,10,,8,,11,,77,,,,5
624,,12-13,,9,,20130402,,20130727,,15,,10,,10,,60,,,,5
624,,12-13,,10,,20130827,,20131221,,11,,10,,10,,70,,,,5
624,,12-13,,11,,20140121,,20140516,,12,,11,,10,,80,,,,5
624,,11-56,,2,,20100531,,20100923,,10,,10,,9,,0,,,,
624,,11-56,,3,,20101102,,20110224,,15,,14,,10,,80,,,,12
624,,11-56,,4,,20110420,,20110813,,12,,12,,10,,80,,,,27
624,,11-56,,5,,20110914,,20120108,,13,,13,,8,,64,,,,5
624,,11-56,,6,,20120207,,20120602,,17,,15,,9,,72,,,,5
624,,11-56,,7,,20120703,,20121026,,13,,13,,10,,65,,,,5
624,,11-56,,8,,20121127,,20130323,,12,,12,,10,,75,,,,5
624,,11-56,,9,,20130423,,20130816,,9,,8,,7,,49,,,,5
624,,11-56,,10,,20130917,,20140111,,12,,12,,10,,70,,,,5
624,,11-56,,11,,20140211,,20140606,,14,,14,,9,,63,,,,5
624,,11-56,,12,,20140708,,20141030,,3,,2,,2,,16,,,,5
624,,11-56,,13,,20141201,,20150327,,8,,8,,8,,60,,,,4
624,,11-56,,14,,20150428,,20150821,,10,,9,,8,,56,,,,5
624,,11-56,,15,,20150922,,20160116,,11,,11,,9,,63,,,,5
624,,0-13,,1,,20100531,,20100927,,10,,10,,10,,0,,240,,
624,,0-13,,2,,20101102,,20110226,,14,,14,,12,,96,,,,5
624,,0-13,,3,,20110329,,20110724,,12,,12,,10,,0,,,,5
624,,0-13,,4,,20111012,,20120207,,13,,11,,9,,72,,,,
624,,0-13,,5,,20120314,,20120708,,14,,14,,9,,81,,,,4
624,,0-13,,6,,20120814,,20121209,,15,,13,,8,,48,,,,5
624,,0-13,,7,,20130108,,20130503,,15,,15,,8,,56,,,,5
624,,0-13,,8,,20130604,,20130927,,14,,10,,9,,63,,,,5
624,,0-13,,9,,20131029,,20140221,,16,,15,,10,,80,,,,5
624,,0-13,,10,,20140326,,20140718,,15,,12,,9,,63,,,,6
624,,0-13,,11,,20140819,,20141213,,14,,13,,10,,70,,,,5
624,,0-13,,12,,20150113,,20150508,,10,,7,,7,,49,,,,5
624,,0-13,,13,,20150608,,20151003,,14,,13,,9,,63,,,,6
624,,0-13,,14,,20151103,,20160226,,6,,6,,0,,0,,,,5
624,,0-39,,1,,20100531,,20100927,,10,,10,,9,,0,,240,,
624,,0-39,,2,,20101102,,20110225,,12,,12,,9,,63,,,,5
624,,0-39,,3,,20110329,,20110723,,10,,10,,11,,88,,,,5
624,,0-39,,4,,20110823,,20111216,,14,,14,,10,,70,,,,5
624,,0-39,,5,,20120117,,20120513,,12,,12,,10,,70,,,,5
624,,0-39,,6,,20120612,,20121005,,10,,10,,10,,70,,,,5
624,,0-39,,7,,20121107,,20130302,,15,,15,,10,,70,,,,5
624,,0-39,,8,,20130402,,20130726,,15,,15,,12,,78,,,,5
624,,0-39,,9,,20130827,,20131221,,11,,11,,10,,70,,,,5
624,,0-39,,10,,20140121,,20140516,,14,,14,,10,,80,,,,5
624,,0-39,,11,,20140617,,20141011,,16,,15,,9,,63,,,,5
624,,0-39,,12,,20141127,,20150323,,14,,13,,10,,70,,,,24
624,,0-61,,1,,20100531,,20100927,,9,,9,,9,,0,,239,,
624,,0-61,,2,,20101102,,20110301,,14,,13,,10,,70,,,,5
624,,0-61,,3,,20110425,,20110821,,15,,15,,11,,88,,,,32
624,,0-61,,4,,20111004,,20120131,,10,,10,,12,,72,,,,16
624,,0-61,,5,,20120229,,20120625,,16,,16,,10,,70,,,,6
624,,0-61,,6,,20120725,,20121119,,16,,11,,6,,39,,,,5
624,,0-61,,7,,20121218,,20130414,,18,,16,,11,,7,,,,5
624,,0-61,,8,,20130514,,20130906,,15,,7,,8,,56,,,,5
624,,0-61,,9,,20131008,,20140202,,16,,10,,7,,56,,,,5
624,,0-61,,10,,20140304,,20140628,,12,,11,,11,,77,,,,5
624,,0-61,,11,,20140729,,20141122,,17,,16,,9,,63,,,,5
624,,0-61,,12,,20141223,,20150415,,17,,6,,0,,0,,,,5
624,,0-61,,13,,20150607,,20151002,,7,,5,,4,,32,,,,24
624,,0-9,,1,,20100531,,20100927,,9,,9,,9,,0,,240,,
624,,0-9,,2,,20101102,,20110227,,16,,16,,11,,88,,,,5
624,,0-9,,3,,20110425,,20110822,,16,,16,,10,,70,,,,32
624,,0-9,,4,,20111004,,20120128,,14,,12,,0,,0,,,,16
624,,9-54,,2,,20100531,,20100927,,11,,11,,11,,0,,,,
624,,9-54,,3,,20101103,,20110225,,15,,14,,6,,36,,,,13
624,,9-54,,4,,20110517,,20110912,,15,,13,,11,,77,,,,54
624,,9-54,,5,,20111025,,20120216,,17,,16,,7,,49,,,,5
624,,9-54,,6,,20120321,,20120712,,16,,16,,10,,70,,,,6
624,,9-54,,7,,20120816,,20121210,,6,,6,,4,,32,,,,7
624,,8-33,,3,,20100602,,20100924,,12,,12,,9,,0,,,,
624,,8-33,,4,,20101124,,20110321,,9,,9,,9,,90,,,,34
624,,8-33,,5,,20110421,,20110813,,14,,14,,9,,63,,,,7
624,,8-33,,6,,20110914,,20120108,,8,,8,,2,,16,,,,5
624,,8-33,,7,,20120206,,20120601,,7,,6,,6,,54,,,,4
624,,8-33,,8,,20120703,,20121026,,10,,6,,4,,28,,,,5
624,,0-8,,1,,20100611,,20101004,,10,,10,,10,,0,,251,,
624,,0-8,,2,,20101215,,20110411,,14,,14,,8,,56,,,,40
624,,0-8,,3,,20111006,,20120128,,13,,13,,11,,77,,,,154
624,,0-8,,4,,20120702,,20121025,,12,,12,,10,,70,,,,
624,,0-8,,5,,20121127,,20130323,,14,,14,,14,,98,,,,5
624,,0-8,,6,,20130423,,20130817,,18,,15,,10,,70,,,,5
624,,0-8,,7,,20130917,,20140113,,16,,14,,12,,84,,,,5
624,,0-8,,8,,20140211,,20140606,,7,,6,,7,,45.5,,,,5
624,,0-8,,9,,20140709,,20141102,,15,,15,,10,,80,,,,6
624,,0-8,,10,,20141202,,20150327,,10,,10,,10,,90,,,,5
624,,0-8,,11,,20150428,,20150823,,15,,13,,13,,84.5,,,,5
624,,0-8,,12,,20150922,,20160118,,12,,12,,12,,78,,,,5
624,,78,,4,,20100614,,20101008,,14,,12,,8,,0,,,,
624,,78,,5,,20101214,,20110408,,13,,13,,10,,90,,,,39
624,,78,,6,,20111006,,20120128,,15,,13,,11,,66,,,,154
624,,78,,7,,20120228,,20120623,,11,,11,,8,,72,,,,5
624,,78,,8,,20120725,,20121119,,5,,3,,3,,21,,,,5
624,,78,,9,,20121217,,20130411,,9,,6,,8,,60,,,,4
624,,78,,10,,20130513,,20130906,,7,,7,,9,,72,,,,4
624,,78,,11,,20131008,,20140131,,9,,9,,6,,48,,,,5
624,,35-40,,3,,20100614,,20101007,,7,,7,,7,,0,,,,
624,,8-52,,2,,20100614,,20101007,,12,,11,,8,,0,,,,
624,,8-52,,3,,20101123,,20110318,,16,,15,,9,,90,,,,18
624,,8-52,,4,,20110419,,20110811,,13,,12,,9,,72,,,,5
624,,8-52,,5,,20111027,,20120220,,13,,11,,9,,67.5,,,,48
624,,8-52,,6,,20120320,,20120712,,13,,13,,7,,56,,,,5
624,,8-52,,7,,20120814,,20121208,,11,,9,,8,,64,,,,5
624,,8-52,,8,,20130108,,20130503,,13,,11,,8,,64,,,,5
624,,8-52,,9,,20130604,,20130927,,12,,10,,8,,64,,,,5
624,,8-52,,10,,20150331,,20150801,,2,,0,,0,,0,,,,
624,,0-0,,4,,20100614,,20101007,,13,,11,,10,,0,,,,
624,,12-194,,2,,20100617,,20101012,,14,,14,,9,,0,,,,
624,,12-194,,3,,20101123,,20110319,,12,,12,,11,,99,,,,5
624,,12-194,,4,,20110419,,20110814,,3,,3,,4,,24,,,,5
624,,12-194,,5,,20111027,,20120220,,12,,12,,11,,77,,,,62
624,,12-194,,6,,20120321,,20120715,,16,,16,,8,,64,,,,6
624,,12-194,,7,,20121006,,20130130,,14,,12,,9,,63,,,,
624,,12-194,,8,,20130312,,20130708,,10,,10,,8,,64,,,,15
624,,12-194,,9,,20130807,,20131201,,9,,9,,9,,67.5,,,,6
624,,12-194,,10,,20131231,,20140426,,11,,11,,10,,80,,,,5
624,,12-194,,11,,20140527,,20140919,,11,,10,,9,,67.5,,,,5
624,,12-194,,12,,20141021,,20150213,,11,,11,,9,,67.5,,,,5
624,,12-194,,13,,20150317,,20150710,,12,,11,,9,,63,,,,5
624,,12-194,,14,,20150922,,20160122,,10,,10,,10,,80,,,,37
624,,6374,,2,,20100623,,20101016,,14,,13,,10,,0,,,,
624,,6374,,3,,20101215,,20110408,,15,,15,,9,,72,,,,27
624,,6374,,4,,20111005,,20120127,,13,,13,,10,,70,,,,153
624,,6374,,5,,20120229,,20120623,,9,,9,,9,,72,,,,6
624,,6374,,6,,20120725,,20121117,,10,,10,,9,,63,,,,5
624,,6374,,7,,20121218,,20130410,,14,,11,,8,,64,,,,5
624,,6374,,8,,20130514,,20130905,,12,,12,,10,,80,,,,5
624,,6374,,9,,20131008,,20140131,,8,,8,,8,,64,,,,5
624,,6374,,10,,20140304,,20140626,,13,,11,,10,,75,,,,5
624,,6374,,11,,20140729,,20141121,,8,,8,,8,,60,,,,5
624,,6374,,12,,20141223,,20150414,,11,,8,,7,,52.5,,,,5
624,,6374,,13,,20150518,,20150908,,10,,10,,9,,76.5,,,,4
624,,6374,,14,,20151013,,20160206,,12,,12,,12,,96,,,,5
624,,6374,,15,,20160308,,20160701,,6,,6,,6,,60,,,,5
624,,38-43,,3,,20100629,,20101022,,7,,7,,5,,0,,,,
624,,38-43,,4,,20101222,,20110414,,11,,10,,10,,70,,,,
624,,38-43,,5,,20110511,,20110901,,3,,3,,6,,36,,,,6
624,,91-166,,3,,20100629,,20101022,,9,,8,,8,,0,,,,
624,,91-166,,4,,20101123,,20110317,,13,,13,,11,,77,,,,5
624,,91-166,,5,,20110419,,20110810,,11,,11,,9,,54,,,,5
624,,91-166,,6,,20120403,,20120726,,10,,10,,5,,35,,,,
624,,91-166,,7,,20130220,,20130614,,11,,10,,9,,72,,,,
624,,91-166,,8,,20130716,,20131109,,12,,11,,9,,63,,,,5
624,,91-166,,9,,20131210,,20140404,,13,,6,,5,,35,,,,5
624,,91-166,,10,,20140506,,20140828,,5,,5,,5,,35,,,,5
624,,0-84,,1,,20100702,,20101025,,12,,12,,10,,0,,271,,
624,,0-84,,2,,20101215,,20110409,,11,,11,,8,,56,,,,15
624,,0-84,,3,,20110509,,20110903,,6,,6,,11,,77,,,,4
624,,0-84,,4,,20111004,,20120128,,13,,12,,11,,77,,,,3
624,,0-84,,5,,20120228,,20120623,,13,,13,,11,,77,,,,5
624,,0-84,,6,,20120725,,20121119,,9,,9,,6,,39,,,,5
624,,0-84,,7,,20121217,,20130414,,11,,11,,9,,67.5,,,,4
624,,0-84,,8,,20130514,,20130906,,8,,8,,10,,70,,,,5
624,,0-84,,9,,20131008,,20140201,,5,,5,,8,,56,,,,5
624,,0-84,,10,,20140304,,20140628,,10,,10,,10,,70,,,,5
624,,0-84,,11,,20140729,,20141122,,3,,3,,3,,24,,,,5
624,,0-84,,12,,20141223,,20150417,,8,,7,,9,,63,,,,5
624,,0-84,,13,,20150518,,20150914,,8,,8,,10,,70,,,,4
624,,0-84,,14,,20151013,,20160207,,10,,9,,13,,91,,,,5
624,,0-84,,15,,20160308,,20160702,,6,,6,,6,,60,,,,5
624,,0-84,,16,,20160801,,20161127,,6,,5,,8,,60,,,,4
624,,99-19,,4,,20100903,,20101227,,12,,12,,12,,84,,,,
624,,95,,3,,20100709,,20101101,,15,,11,,9,,0,,,,
624,,95,,4,,20110106,,20110501,,18,,17,,10,,70,,,,
624,,95,,5,,20110531,,20110924,,11,,10,,10,,70,,,,5
